【Unit Original】

Count: 107

---- Title | Artist | Lyricist | Composer | Arranger | Released | Event | Category | Jacket | Preview Audio | Vocal Version ----
Mirai | uki3 | uki3 | uki3 | uki3 | 2022-12-30 | Same Dreams, Same Colors |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_180/jacket_s_180.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0180_01/vs_0180_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver.
Flyer! | Chinozo | Chinozo | Chinozo | Chinozo | 2023-02-17 | The Legend Still Vivid |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_182/jacket_s_182.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0182_01/vs_0182_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver.
Lower one's eyes | nulut | nulut | nulut | nulut | 2022-10-28 | What lies behind. What lies ahead. |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_187/jacket_s_187.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0187_01/vs_0187_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver. / Cover ver.
Nomad | Balloon | Balloon | Balloon | Balloon | 2023-03-29 | On This Blank Canvas, I Paint |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_189/jacket_s_189.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0189_01/vs_0189_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver.
Worldwide Wander | TOKOTOKO(NishizawasanP) | TOKOTOKO | TOKOTOKO | TOKOTOKO | 2022-12-10 | MORE MORE Making Christmas |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_193/jacket_s_193.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0193_01/vs_0193_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Made to Order | Tota Kasamura | Tota Kasamura (LIVE LAB.) | Tota Kasamura (LIVE LAB.) | Yuichi Murata (LIVE LAB.) | 2023-04-29 | Live with Memories |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_196/jacket_s_196.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0196_01/vs_0196_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Tricologe | NILFRUITS | NILFRUITS | NILFRUITS | NILFRUITS | 2023-01-21 | Someday, From the Depths of Despair |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_203/jacket_s_203.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0203_01/vs_0203_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Peaky Peaky | mikitoP | mikitoP | mikitoP | mikitoP | 2023-02-18 | That day, the Sky was Far Away |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_207/jacket_s_207.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0207_01/vs_0207_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver. / Cover ver. / Cover ver.
Metamo Re:born | emon(Tes.) | emon(Tes.) / Tudiken | emon(Tes.) | emon(Tes.) | 2023-03-11 | Cast a Spell on You |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_209/jacket_s_209.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0209_01/vs_0209_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
IF | YURRY CANON | YURRY CANON | YURRY CANON | Tsukuyomi | 2023-05-09 | Tied By Painful Hope |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_211/jacket_s_211.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0211_01/vs_0211_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Starry sky melody | PolyphonicBranch | PolyphonicBranch | PolyphonicBranch | PolyphonicBranch | 2023-06-29 | Desperate Times?! Island Panic! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_212/jacket_s_212.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0212_01/vs_0212_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
City | jon-YAKITORY | jon-YAKITORY | jon-YAKITORY | jon-YAKITORY | 2023-07-20 | The Vivid Old Tale |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_217/jacket_s_217.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0217_01/vs_0217_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
88☆彡 | marasy × shota horie (kemu) | marasy | marasy×shota horie(kemu) | Shota Horie(kemu) | 2023-04-11 | On the Stage of Dazzling Light |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_224/jacket_s_224.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0224_01/vs_0224_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver.
Voices | Yuyoyuppe | Yuyoyuppe | Yuyoyuppe | Yuyoyuppe | 2023-09-09 | Don't lose faith! |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_236/jacket_s_236.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0236_01/vs_0236_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
Kimi no Yoru Wo Kure | FullkawaHonpo | FullkawaHonpo | FullkawaHonpo | FullkawaHonpo・Masato Kazune | 2023-08-30 | And Now, I Wear This Ribbon |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_237/jacket_s_237.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0237_01/vs_0237_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver.
Moonlight | Tatsuya Kitani × Harumaki Gohan | Tatsuya Kitani × Harumaki Gohan | Tatsuya Kitani × Harumaki Gohan | Tatsuya Kitani × Harumaki Gohan | 2023-05-20 | THE POWER OF UNITY |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_239/jacket_s_239.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0239_01/vs_0239_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver. / Cover ver.
Awake Now | Yunosuke | Gyuniku | Yunosuke | Yunosuke | 2022-11-30 | Bout for Beside You |  | https://storage.sekai.best/sekai-en-assets/music/jacket/jacket_s_244/jacket_s_244.png | https://storage.sekai.best/sekai-en-assets/music/short/vs_0244_01/vs_0244_01_short.mp3 | VIRTUAL SINGER ver. / SEKAI ver. / Cover ver. / Cover ver.
